Nombre;Descripcion;Precio_Euros;URL_Producto;URL_Imagen
Cardo al Natural Juker 660 gr;Cardo de primera calidad recolectado en la huerta riojana y elaborado exclusivamente con agua y sal. Pelado y troceado a mano. Se presenta en tarro de vidrio de 660 gr. Peso Neto Escurrido:410g.;2.75;https://tienda.productostipicosregionales.es/conservas-vegetales/292-cardo-al-natural-juker-660-gr.html;https://tienda.productostipicosregionales.es/320-home_default/cardo-al-natural-juker-660-gr.jpg
Castañas en Almíbar S.A.T. El Artesano Raúl Valcarce 250 gr;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en tarro de vidrio de 250 gr. Peso Neto Escurrido: 140g.;9.50;https://tienda.productostipicosregionales.es/conservas-dulces/571-castanas-en-almibar-sat-el-artesano-raul-valcarce-250-gr.html;https://tienda.productostipicosregionales.es/599-home_default/castanas-en-almibar-sat-el-artesano-raul-valcarce-250-gr.jpg
Castañas en Almíbar S.A.T. El Artesano Raúl Valcarce 300 gr;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en tarro de vidrio de 300 gr. Peso Neto Escurrido: 180g.;13.50;https://tienda.productostipicosregionales.es/conservas-dulces/572-castanas-en-almibar-sat-el-artesano-raul-valcarce-300-gr.html;https://tienda.productostipicosregionales.es/600-home_default/castanas-en-almibar-sat-el-artesano-raul-valcarce-300-gr.jpg
Cava Brut Nature Gran Reserva Juvé & Camps Reserva de la Familia 75 cl;Cava Brut Nature Gran Reserva elaborado por Bodegas Juvé & Camps, S.A. utilizando variedades de uva tales como Xarel-lo (55%), Macabeo (35%) y Parellada (10%). 36 meses de media crianza en sus lías. Producción ecológica. 12% Vol. Contiene sulfitos. Se presenta en botella de vidrio de 75 cl.;17.25;https://tienda.productostipicosregionales.es/vino/1299-cava-brut-nature-gran-reserva-juve-camps-reserva-de-la-familia-75-cl.html;https://tienda.productostipicosregionales.es/1667-home_default/cava-brut-nature-gran-reserva-juve-camps-reserva-de-la-familia-75-cl.jpg
Cava Brut Reserva Juvé y Camps Cinta Púrpura 75 cl;Cava Brut Reserva elaborado por Bodegas Juvé & Camps, S.A. utilizando variedades de uva tales como Xarel-lo (34%), Macabeo (33%) y Parellada (33%). 24 meses de media crianza en sus lías. 12% Vol. Contiene sulfitos. Se presenta en botella de vidrio de 75 cl.;14.50;https://tienda.productostipicosregionales.es/vino/1300-cava-brut-reserva-juve-y-camps-cinta-purpura-75-cl.html;https://tienda.productostipicosregionales.es/1668-home_default/cava-brut-reserva-juve-y-camps-cinta-purpura-75-cl.jpg
Cebolla Caramelizada Juker 340 gr;Cebolla de primera calidad, cortada en juliana y pochada en aceite de oliva virgen extra con caramelo natural, elaborado a partir de azúcar de caña. Un capricho para endulzar cualquier plato. Se presenta en tarro de vidrio de 340 gr.;4.50;https://tienda.productostipicosregionales.es/conservas-vegetales/300-cebolla-caramelizada-juker-340-gr.html;https://tienda.productostipicosregionales.es/328-home_default/cebolla-caramelizada-juker-340-gr.jpg
Cecina Loncheada El Montañés – Vegacervera 200 g;Cecina extra de vaca en lonchas de Vegacervera, situada en el extremo Norte de la provincia de León. Producto artesano. Curación natural. Se presenta en sobre de 200 gr aprox. envasado al vacío.;11.50;https://tienda.productostipicosregionales.es/buey/982-cecina-loncheada-el-montanes-vegacervera-200-g.html;https://tienda.productostipicosregionales.es/1285-home_default/cecina-loncheada-el-montanes-vegacervera-200-g.jpg
Cerezas en Aguardiente S.A.T. El Artesano Raúl Valcarce 300 gr;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en tarro de vidrio de 300 gr.;6.25;https://tienda.productostipicosregionales.es/conservas-dulces/1091-cerezas-en-aguardiente-sat-el-artesano-raul-valcarce-300-gr.html;https://tienda.productostipicosregionales.es/1423-home_default/cerezas-en-aguardiente-sat-el-artesano-raul-valcarce-300-gr.jpg
Cerezas en Aguardiente S.A.T. El Artesano Raúl Valcarce 570 gr;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en tarro de vidrio de 570 gr. Peso Neto Escurrido: 330g.;9.75;https://tienda.productostipicosregionales.es/conservas-dulces/579-cerezas-en-aguardiente-sat-el-artesano-raul-valcarce-570-gr.html;https://tienda.productostipicosregionales.es/795-home_default/cerezas-en-aguardiente-sat-el-artesano-raul-valcarce-570-gr.jpg
Cerezas en Almíbar S.A.T. El Artesano Raúl Valcarce 300 gr;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en tarro de vidrio de 300 gr. Peso Neto Escurrido: 180g.;4.45;https://tienda.productostipicosregionales.es/conservas-dulces/578-cerezas-en-almibar-sat-el-artesano-raul-valcarce-300-gr.html;https://tienda.productostipicosregionales.es/794-home_default/cerezas-en-almibar-sat-el-artesano-raul-valcarce-300-gr.jpg
